TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
0,5,120.672591728065,0.134258785931453,2.35077986641131,437.638417393189,423.992197787367,1.19919082920174,3.04061412539639,-0.308691702002189,0.0510660079309725,0.312285575139051,27.7784846768435,90,0,0,0,0
0.0200000032782555,5,120.720699872356,0.0949352979660034,2.39028179869029,437.638622268307,423.958533799254,1.19927266518639,3.14728153318075,-0.308616771946154,0.0509667671592919,0.312222954968763,27.8230401398893,90,0.00115245031518968,0,0.233444253864127,0.234805582042742
0.22000003606081,5,121.245255729835,0.0949352979660034,2.78560602371263,437.6407955595,423.621697938048,1.1999051492676,4.31526805287772,-0.308354377803841,0.0485470019341476,0.311972096680208,28.3120317509398,90,0.0136530646907566,0,2.56938236245327,2.58554267912139
0.420000068843365,5,121.849028873164,0.0949352979660034,3.18238976675513,437.643230939167,423.284914052092,1.20043545233782,5.67192693614075,-0.309442263480193,0.0447354508531093,0.31247305955144,28.8801321187057,90,0.0279341911557467,0,4.90438796765991,4.93749523263757
0.620000101625919,5,122.532274566125,0.0949352979660034,3.58025894759806,437.646054209168,422.948143755995,1.20124722806675,7.217896549614,-0.313613194302073,0.0423250364727083,0.315894310748796,29.5275973563641,90,0.044000659912309,0,7.23919032012891,7.29141767902601
0.820000134408474,5,123.2953480253,0.0949352979660034,3.98031406476429,437.649346208897,422.611407792174,1.20215308294909,8.95951609424748,-0.31930867093706,0.0417778738026674,0.321483238531461,30.2547133275587,89.9980224609375,0.061862232580848,0,9.57338266467708,9.64692219357239
1.02000016719103,5,124.138593458664,0,4.38198720174934,437.653127434088,422.274646079146,1.20305646864037,10.8968974498078,-0.325837771217696,0.0428830428697789,0.328345465457035,31.0618543547206,89.996044921875,0.0815261160802932,0,11.9073183228041,12.004379847442
1.22000019997358,5,125.06243758332,0.134258785931453,4.78584724913387,437.65742447961,421.93786052426,1.20408181631928,13.0361712024081,-0.331310266203122,0.045213907525298,0.33425342635874,31.9493932537641,89.996044921875,0.103002066468145,0,14.2410899141671,14.363896687649
1.42000023275614,5,126.067216992099,0,5.19119129104998,437.662222174543,421.601141249739,1.20496292303126,15.3755277984651,-0.335535314606811,0.0483832580102554,0.338675288581958,32.917726634033,89.9980224609375,0.126296680865591,0,16.5740355883768,16.7248073208475
1.62000026553869,5,127.15322319204,0.0949352979660034,5.59801125036624,437.667453107321,421.264454161726,1.20571517537851,17.9170089138436,-0.337657672098323,0.0513794874844058,0.341324039397774,33.9671581742726,89.9980224609375,0.151416520787519,0,18.9063135277709,19.087271134919
1.82000029832125,5,128.320876537915,0.0949352979660034,6.00748156551209,437.673064665546,420.927708661162,1.20681472092941,20.6694226927391,-0.33782018907115,0.0535356434112504,0.341896834947729,35.0980236121546,90,0.17837341583691,0,21.2391049422281,21.4524907964817
2.0200003311038,5,129.570702249184,0.0949352979660034,6.41947656791623,437.679060664366,420.590849673354,1.20825787596794,23.6364934563839,-0.335933769934268,0.0549195435237679,0.33977277469291,36.3108280360792,89.9980224609375,0.207178626879896,0,23.5725435633911,23.8206108125138
2.22000036388636,5,130.903147947229,0,6.83322565087727,437.685392745846,420.254054581725,1.20933633212612,26.8178838583409,-0.332970881485988,0.0554141946777859,0.337286347714096,37.6060710436106,89.9980224609375,0.237839952473792,0,25.9050707332685,26.1900549928915
2.42000039666891,5,132.318582941405,0.0949352979660034,7.24926642136349,437.692072685302,419.917220627867,1.21024519259532,30.2171399514813,-0.328833799210541,0.0550376020110963,0.333022199148431,38.984120757794,90,0.270367597872585,0,28.2375765666067,28.561738461366
2.62000042945147,5,133.817497912329,0.134258785931453,7.6678939430527,437.699035741687,419.580285584532,1.21166649269193,33.8400432174603,-0.324700719749632,0.0534402426080917,0.328826220012107,40.4454262156133,90,0.30477308860087,0,30.5711163484721,30.9367543551153
2.82000046223402,5,135.400367209688,0,8.08802718178482,437.706289366344,419.243526017272,1.21248502214956,37.6871248228271,-0.320902481047955,0.0508913090552975,0.324513519048759,41.9904928600788,89.996044921875,0.341063093248863,0,32.9022711333228,33.3116399426109
3.02000049501657,5,137.067387347762,0.0949352979660034,8.50956575439913,437.713876937662,418.906755721175,1.21303127682917,41.7498840492657,-0.317830569870358,0.0477748092652323,0.32105853987383,43.6196203437075,90,0.379243820324891,0,35.2333737010384,35.6887912505838
3.22000052779913,5,138.81890947856,0.134258785931453,8.93301230618322,437.721890690815,418.569897210204,1.21428200926241,46.0384561294768,-0.315475839016734,0.044603410190602,0.317997099935047,45.3330823873542,89.9980224609375,0.419323720034479,0,37.5647570306926,38.0685760300753
